,repeat0_p0,repeat1_p0,repeat2_p0,repeat3_p0,repeat4_p0,repeat5_p0,repeat6_p0,repeat7_p0,repeat8_p0,repeat9_p0,target
27,18.484816645656196,18.470716947208125,19.140599920251546,17.38354714440076,19.160803273439278,18.758084103053047,19.812031067223636,18.7378636294737,18.1045362991645,18.045424559817796,11.0
28,11.391548779444783,11.306399704273712,11.272669422548086,11.01220219440372,11.425219245757773,11.302630217099757,11.703255475907275,11.929522323408026,11.88847492845707,12.182652729902266,22.0
29,21.143463809263658,20.096596063541384,21.267022215379768,21.232153545977805,22.83304805423147,22.203033184704516,21.043793373829793,22.41976742511798,21.451891277128993,22.898014217189118,21.0
30,11.89049028491688,13.620781875661626,14.596308787193532,14.069556535451515,11.091976026723598,12.590732635042393,11.056529788228625,12.687658224909924,12.336530061252226,15.053857027948295,15.0
31,18.17906475251656,18.942441829904098,17.920986221816154,17.59213522547588,18.130221087431565,18.67354757427659,19.00075883307464,18.372381006797898,18.373770578906573,18.359223181176198,12.0
32,17.665865606709247,19.00849240620064,18.47043090410549,19.54016103633917,18.11099226787216,19.347776975151906,18.780294706179387,18.72164309049692,17.952011342386875,18.450526766151025,20.0
33,18.162586683154707,18.08082745605852,19.45616242063568,19.7092420707045,18.897871743509196,18.439368910684706,17.577142672404133,18.497942522984985,19.113456222150766,19.862473406101252,18.0
34,20.560668617530133,20.128148405347353,19.99675299961885,19.711525240285404,20.032957412409722,20.79659828297317,20.209591678221756,19.956337344716182,19.758395818793943,19.451256709094977,6.0
35,19.133379730496088,19.217181262438423,19.35905225466633,19.642348484024474,18.72628569111629,19.22272624735365,19.799976990518886,19.07586057867202,19.95093736296085,19.866866336808485,19.0
36,16.89130544665351,18.08349261505635,16.999061550013003,16.354810841279622,15.507308266720749,18.38248218675109,17.046235274139484,17.691969679191416,17.5177598081011,14.918183659625335,18.0
37,15.979035895293503,14.971983267792108,17.903394483641936,16.15771456493137,14.262768488893286,14.902322131858886,16.65271558156664,15.245105874970497,17.357311467168532,18.2296084457194,16.0
38,19.59455450932719,19.05619000111827,18.537916367610755,19.07912746669662,18.84726421687273,20.07055208385205,16.525495543715994,18.8711900531502,20.03000787618568,18.276771376537422,6.0
39,12.571988204040272,13.938807234646578,12.605710167803354,13.009285937089476,11.848125690537977,13.758864562706187,11.867873714150578,14.722797744468599,15.224341281813373,12.086656368358128,6.0
40,14.53078777518528,15.363623573936872,15.677469007002621,15.648649162264277,15.697098785228842,16.108015787444813,15.22933000854305,14.974502292335668,15.8171355783531,14.046875868532307,19.0
41,16.089122146976806,15.363207562802774,14.754824469890739,15.596676676671763,14.16582980347912,15.312535595494008,14.629280438726468,15.100126116265882,14.40979212069357,15.374027602255124,12.0
42,17.432316822774396,17.573587912437937,17.14372483717173,17.780216453326616,17.887401464978073,17.35631950387719,17.825096543380727,17.72618157167069,17.24117449449529,17.87657612115001,23.0
43,20.824427826790288,20.317821914554035,20.760127776326065,20.59590950563257,20.014139038228013,20.42642890905598,21.001278450969775,20.389976887008388,20.529987521423404,21.474173200108144,21.0
44,14.346921850907819,13.948827506048744,12.711103484810947,13.529413742627954,13.250696681331815,12.858997945957197,13.827699975716026,13.697659730990168,13.980360087804748,13.58692122893298,11.0
45,16.74178368226182,16.41741281946676,16.0685424719542,17.166123934745478,16.409938243737308,15.915356111191358,16.305673263406625,16.06198860992054,17.26742424842415,16.332316491298933,14.0
46,16.762598334150525,17.725578958093813,19.716580894317495,17.095808847726698,17.440478625208584,18.10277889208445,17.979311981559746,18.42583706642377,17.899524503982754,18.276640916981766,20.0
47,17.663935529928608,18.328780092449186,17.421089668320917,18.751424819273993,17.84709054370738,18.280891415529872,18.155732551054147,18.62133910546315,17.63949555278422,17.90580658147282,20.0
48,19.303199476483137,19.043075097364643,20.23280178024918,18.739968355471582,19.460651204126375,19.632311874929943,20.194802784733767,19.2469714536835,20.118534869338106,18.724702898231634,16.0
49,15.473365788892508,16.75901715678058,15.497741387283718,16.169864446929914,15.099285902218845,15.17244647573935,15.899845173171734,15.965469991246785,15.361506448020428,15.002995054731027,21.0
50,19.831905816555974,19.298544040942353,19.689464121826596,18.831935714031268,18.55973802402299,18.45458589131685,19.084554323734736,20.272830873399734,19.374208434049514,19.634011727115972,20.0
51,18.608875218408894,16.884447089878112,17.33574884944091,15.518094109875365,17.612472388845724,17.22990670080553,16.9554105954362,16.69007318321229,17.64894101564954,17.50044447972363,19.0
52,16.42918020120829,17.346617292424614,16.4452420741314,16.235886909917973,16.291985071096043,16.984230083417657,17.467757521193874,17.295502747694748,17.23485208611531,15.872020224419435,20.0
53,17.217500550295643,16.179599453043828,17.438491541057147,17.338298782750265,17.735225260824556,17.9987765548378,18.94082652608226,18.404491402555756,17.603470414073612,17.97712052763719,15.0
54,16.43298718536999,16.2534402279248,15.617172378432432,16.843909795041032,14.849899240499566,18.125261489570562,16.71764450513596,16.723955092785822,16.014497615821636,16.03482593340933,17.0
55,14.71652686109449,15.21093844981456,15.264188334098328,16.190676009645223,15.94751309686179,15.08840682858702,14.624050577422846,15.205086442183784,14.839500813746504,16.04036212492081,19.0
56,15.935064218961987,16.982791696217976,16.41144024324715,16.508965460553966,16.600215596744626,16.89011213400048,16.509193239961768,16.295025764578874,16.88352621650347,16.804742456937543,18.0
57,17.454148002472916,17.174125948432483,17.0537120427294,17.479870262843882,17.445572079833113,17.351950244066984,17.80874063807805,16.820067541137227,17.663897219961243,17.162646110653686,17.0
58,17.99151931917347,17.712615938689083,17.68763032747127,18.79365566196087,18.95412602020513,18.57070883417738,18.169023809091378,18.070156653425663,18.81241027255119,18.30282114093819,22.0
