,repeat0_p0,repeat1_p0,repeat2_p0,repeat3_p0,repeat4_p0,repeat5_p0,repeat6_p0,repeat7_p0,repeat8_p0,repeat9_p0,target
38,18.40946791794004,18.469282280577282,18.541069169608512,18.35730936666576,18.602021790742377,19.867188878067694,16.427709285083115,18.280887517077833,19.698487026125896,16.687202587200208,6.0
39,11.939450415747757,13.168576027769383,12.203294597536736,11.823276727207947,10.9244040725388,13.08129784625368,10.157130720841895,12.88906938728839,14.906212124220358,10.585960477488651,6.0
40,14.345428391478814,15.083779479825912,14.940088569978444,15.132325616724671,14.771698966269023,15.766311225682799,14.204495010881766,14.689522698085199,15.266848131133605,13.429422055542698,19.0
41,15.724725978781347,15.134400174049759,14.159488174030662,15.063800138258726,13.438543052771859,13.72852745075173,14.162571709790958,13.913928504010144,13.90870045139311,14.801748432390246,12.0
42,17.28367961314875,17.133204970051814,16.536490282892036,17.133304287484783,16.57934548979771,17.137223729520144,17.18756129264849,17.46189064460834,16.763277917407677,17.36798350767741,23.0
43,19.26237697759047,19.219863036936395,20.23548781793131,19.98868759597069,19.38329316029172,19.8825676745849,18.58867258903839,19.732869875496974,19.947293118267098,20.193001176803463,21.0
44,14.430507486195296,14.49147882054192,13.697893481813754,13.33966399509209,13.526602709913579,13.183969366378719,14.317262464182674,14.11293311899216,14.052524542413138,13.848486140731517,11.0
45,16.824666108963832,16.22345051529163,16.40388064105373,17.56929202810575,16.75929740146434,16.87865514238189,17.317590969344657,16.85203357594919,17.431113690549335,16.23210486318997,14.0
46,17.712352734685155,17.178685717687408,18.877688106299324,16.694829030315056,16.52874704864258,18.678970767076144,17.765837352286496,17.568453187244778,17.485734596632874,17.538592064555434,20.0
47,18.46449072705859,18.029608758770188,18.089088626021052,18.381650018368383,17.502300495021146,17.803269298100144,18.737477891069094,19.140350045936724,17.60268175713689,18.14790541356558,20.0
48,16.199257757515227,17.507917061582166,19.295955463105066,17.11124654881368,18.76561927825204,18.344320929392836,18.011859732185176,17.240311598211953,17.64199799373668,17.388848249926493,16.0
